parlhand.person.phid,_party.name,parlhand.party.code,start_date,end_date
"5V5",Australian Labor Party,ALP,1993-03-13,2013-08-05
"L2I",Free Trade,FT,1901-03-29,1906-12-12
"SK6",Independent,IND,1998-05-26,1998-10-03
"00APG",Liberal Party,LP,2001-11-10,
"GJ4",Liberal Party,LP,1984-12-01,1998-10-03
"5B6",Liberal Party,LP,1995-03-25,1996-03-02
"172770",Australian Labor Party,ALP,2010-08-21,2013-09-07
"DQF",Liberal Party,LP,1955-12-10,1983-04-21
"HJ4",Australian Labor Party,ALP,1983-03-05,1996-03-02
"IJ4",Australian Labor Party,ALP,1987-07-11,
"KTV",Free Trade,FT,1901-03-29,1903-12-16
"KU8",Liberal Party,LP,1969-10-25,1972-12-02
"KU9",Free Trade,FT,1901-03-30,1903-12-16
"ZT4",Liberal Party,LP,1990-03-24,2013-08-05
"TK6",Liberal Party,LP,1996-03-02,
"JJ4",Liberal Party,LP,1980-10-18,1990-03-24
"KUN",United Australia Party,UAP,1940-09-21,1943-08-21
"KUO",Australian Labor Party,ALP,1939-05-27,1940-09-21
"84B",Nationals,NP,1998-10-03,2001-11-10
"KUW",United Australia Party,UAP,1931-12-19,1943-08-21
"GY5",Liberal Party,LP,1970-09-19,1980-09-19
"KJ4",Australian Labor Party,ALP,1983-03-05,1996-01-29
"PI5",Australian Labor Party,ALP,1983-03-05,1984-12-01
"E68",Australian Labor Party,ALP,2005-07-01,
"KUX",Australian Labor Party,ALP,1953-08-29,1979-04-16
"KV7",United Australia Party,UAP,1931-12-19,1946-08-16
"KVG",Liberal Party,LP,1955-12-10,1969-10-25
"EM6",Liberal Party,LP,1996-03-02,
"KVJ",Protectionists,PROT,1903-12-16,1910-04-13
"K7L",The Nationals,NAT,1904-01-01,1922-12-16
"KVM",Liberal Party,LP,1966-11-26,1984-01-18
"KVN",United Australia Party,UAP,1934-09-15,1940-08-13
"KVO",Liberal Party,LP,1913-05-31,1917-03-26
"241586",Liberal Party,LP,2013-09-07,
"242515",Liberal Party,LP,2013-09-07,
"HVS",Australian Labor Party,ALP,2007-11-24,2010-08-21
"3E4",Liberal Party,LP,1974-05-18,2001-10-08
"2V5",Australian Labor Party,ALP,1993-03-13,
"KVR",Liberal Party,LP,1949-12-10,1972-11-02
"HW8",Australian Labor Party,ALP,2007-11-24,2013-09-07
"YU5",Australian Labor Party,ALP,1993-03-13,2010-07-19
"231027",Liberal Party,LP,2013-09-07,
"OJ4",Liberal Party,LP,1988-04-09,1998-08-31
"210911",Liberal Party,LP,2010-08-21,
"KVS",Australian Labor Party,ALP,1927-02-26,1931-12-19
"182468",Australian Labor Party,ALP,2011-07-01,
"KVT",Australian Labor Party,ALP,1946-09-28,1963-11-01
"84C",Liberal Party,LP,1998-10-03,2007-11-24
"KVU",Country Party,CP,1922-12-16,1940-09-21
"FB6",Liberal Party,LP,1995-04-08,2001-10-08
"HVZ",Independent,IND,2012-04-29,
"KVW",Australian Labor Party,ALP,1903-12-16,1906-12-12
"UK6",Australian Labor Party,ALP,1996-03-02,
"KWA",Australian Labor Party,ALP,1972-12-02,1975-12-13
"KWC",Country Party,CP,1931-12-19,1940-09-21
"00ANF",Liberal Party,LP,2001-11-10,2007-11-24
"RJ4",Australian Labor Party,ALP,1984-02-18,1996-03-02
"KWE",Liberal Party,LP,1949-12-10,1960-10-16
"00AN4",Country Liberal Party,CLP,2001-11-10,2007-11-24
"KWH",Liberal Party,LP,1949-12-10,1963-12-24
"KWJ",Country Party,CP,1949-12-10,1953-11-15
"HVU",Australian Labor Party,ALP,2007-11-24,2010-08-21
"GT4",The Nationals,NP,1990-03-24,
"SJ4",Liberal Party,LP,1980-10-18,2010-08-21
"M2Y",Liberal Party,LP,2010-08-21,
"KWL",Australian Labor Party,ALP,1901-03-29,1922-01-10
"KWN",Australian Labor Party,ALP,1928-11-17,1931-12-19
"885",Liberal Party,LP,2004-10-09,
"KWP",Country Party,CP,1946-02-09,1972-11-02
"KWT",Protectionists,PROT,1901-03-29,1906-11-05
"KWR",Liberal Party,LP,1952-12-20,1974-04-11
"HVV",Australian Labor Party,ALP,2007-11-24,2010-08-21
"EE4",Australian Labor Party,ALP,1958-11-22,1990-02-19
"231199",Australian Labor Party,ALP,2011-07-01,
"VK6",Liberal Party,LP,1996-03-02,2010-07-19
"00AMT",Australian Labor Party,ALP,2001-11-10,
"188315",Liberal Party,LP,2010-08-21,
"250077",Liberal Party,LP,2013-09-07,
"E0D",Liberal Party,LP,2004-10-09,
"EE6",Liberal Party,LP,1972-12-02,1983-03-05
"HV5",Liberal Party,LP,1993-03-13,2007-10-17
"9T4",Australian Labor Party,ALP,1990-03-24,1996-03-02
"KWX",Australian Labor Party,ALP,1917-05-05,1919-12-13
"KWZ",Australian Labor Party,ALP,1969-10-25,1983-02-04
"250045",Palmer United Party,PUP,2014-07-01,
"84F",Liberal Party,LP,1998-10-03,2013-08-05
"192970",The Greens,GRN,2011-07-01,
"F4R",Australian Labor Party,ALP,1901-03-29,1910-02-19
"KAO",Liberal Party,LP,1984-12-01,1987-07-11
"193430",Australian Labor Party,ALP,2013-09-07,
"KXI",Australian Labor Party,ALP,1954-05-29,1972-12-02
"WJ4",Liberal Party,LP,1984-12-01,1993-03-13
"1B6",Australian Labor Party,ALP,1983-03-05,1984-12-01
"XK6",Liberal Party,LP,1996-03-02,1998-10-03
"KZA",Australian Labor Party,ALP,1910-04-13,1931-02-05
"XJ4",Australian Labor Party,ALP,1977-10-15,1993-02-08
"KZI",Australian Labor Party,ALP,1972-12-02,1975-12-13
"KZP",Liberal Party,LP,1949-12-10,1961-12-09
"195565",The Greens,GRN,2012-06-20,
"YJ4",Liberal Party,LP,1981-02-21,1990-02-19
"207800",Liberal Party,LP,2013-09-07,
"KZY",Australian Labor Party,ALP,1975-12-13,1977-11-10
"6U4",Australian Labor Party,ALP,1952-11-29,1978-07-31
"L0L",Country Party,CP,1922-12-16,1925-10-03
"L0N",Liberal Party,LP,1960-07-16,1974-04-11
"241590",Liberal Party,LP,2013-09-07,
"L0V",Liberal Party,LP,1949-12-10,1961-12-09
"C2T",Independent,IND,2010-08-21,
"84G",Australian Labor Party,ALP,1998-10-03,2007-11-24
"7V5",Liberal Party,LP,1993-03-13,2004-08-31
"I0V",The Nationals,NP,2008-07-01,
"249758",Liberal Party,LP,2013-09-07,
"L1A",Australian Labor Party,ALP,1943-08-21,1949-12-10
"ZJ4",Australian Labor Party,ALP,1972-12-02,1998-08-31
"0K4",Liberal Party,LP,1966-11-26,1993-02-08
"198084",Liberal Party,LP,2013-09-07,
"YK6",Australian Labor Party,ALP,1996-03-02,2000-06-14
"009LP",Independent,IND,2001-11-10,2013-08-05
"00AOU",Australian Labor Party,ALP,2002-07-01,
"E0F",Liberal Party,LP,2004-10-09,
"1K4",Liberal Party,LP,1987-07-11,1997-03-07
"0U4",Australian Labor Party,ALP,1990-03-24,1996-03-02
"8E4",Liberal Party,LP,1987-07-11,2001-10-08
"8V5",Liberal Party,LP,1993-03-13,2004-10-09
"200287",The Greens,GRN,2011-07-01,
"M3A",Liberal Party,LP,2010-08-21,
"8IV",Independent,IND,2008-07-01,
"L1T",Australian Labor Party,ALP,1914-01-10,1931-12-19
"L1V",Liberal Party,LP,1975-12-13,1980-10-18
"EV4",Australian Labor Party,ALP,1974-05-18,1988-02-08
"84H",Australian Labor Party,ALP,1998-10-03,2004-10-09
"ZK6",Independent,IND,1998-02-09,1998-10-03
"HWB",Australian Labor Party,ALP,2007-11-24,
"BK6",Independent,IND,1996-03-02,1997-06-27
"HX4",Independent,IND,2001-07-08,2011-09-27
"XW4",Australian Democrats,AD,1990-07-01,1997-10-15
"250026",Palmer United Party,PUP,2014-07-01,2014-11-24
"108616",Palmer United Party,PUP,2014-07-01,2015-03-12
"SK6",Liberal,LP,1996-03-02,1998-05-26
"HVZ",Australian Labor Party,ALP,2007-11-24,2012-04-29
"ZK6",Liberal,LP,1996-03-02,1998-02-09
"HX4",Nationals,NP,1993-03-13,2001-07-08
